subject,field,annotation,nan_score,good
PJ01_1_Ruhe,diameter,17893.205035,0.1297016861219196,0
PJ01_1_Ruhe,diameter,17893.205035,0.1297016861219196,1
PJ01_1_Ruhe,diameter,17922.632918,0.26203734032099574,0
PJ01_1_Ruhe,diameter,17922.632918,0.26203734032099574,1
PJ01_1_Ruhe,diameter,17952.029021000002,0.8818342151675485,0
PJ01_1_Ruhe,diameter,17952.029021000002,0.8818342151675485,1
PJ01_1_Ruhe,diameter,17981.420887,1.210826210826211,0
PJ01_1_Ruhe,diameter,17981.420887,1.210826210826211,1
PJ01_1_Ruhe,diameter,18010.817069,2.975420439844761,0
PJ01_1_Ruhe,diameter,18010.817069,2.975420439844761,1
PJ01_1_Ruhe,diameter,18040.208883,1.2144281312307414,0
PJ01_1_Ruhe,diameter,18040.208883,1.2144281312307414,1
PJ01_1_Ruhe,diameter,18069.604948,1.5894553207986044,0
PJ01_1_Ruhe,diameter,18069.604948,1.5894553207986044,1
PJ01_1_Ruhe,diameter,18099.03311,2.20799293442261,0
PJ01_1_Ruhe,diameter,18099.03311,2.20799293442261,1
PJ01_1_Ruhe,diameter,18128.429035,1.095399322844055,0
PJ01_1_Ruhe,diameter,18128.429035,1.095399322844055,1
PJ01_1_Ruhe,diameter,18157.820979,0.8756941478000855,0
PJ01_1_Ruhe,diameter,18157.820979,0.8756941478000855,1
PJ01_1_Ruhe,diameter,18187.217264,0.5919494869771112,0
PJ01_1_Ruhe,diameter,18187.217264,0.5919494869771112,1
PJ01_1_Ruhe,diameter,18216.608953,2.434928631402183,0
PJ01_1_Ruhe,diameter,18216.608953,2.434928631402183,1
PJ01_1_Ruhe,diameter,18246.005071,2.5030775543701274,0
PJ01_1_Ruhe,diameter,18246.005071,2.5030775543701274,1
PJ01_1_Ruhe,diameter,18275.433183,1.0996807378503015,0
PJ01_1_Ruhe,diameter,18275.433183,1.0996807378503015,1
PJ01_1_Ruhe,diameter,18304.829043,1.3240985944184152,0
PJ01_1_Ruhe,diameter,18304.829043,1.3240985944184152,1
PJ01_1_Ruhe,diameter,18334.221089,2.4331352154531944,0
PJ01_1_Ruhe,diameter,18334.221089,2.4331352154531944,1
PJ01_1_Ruhe,diameter,18363.617293,3.5885714285714285,0
PJ01_1_Ruhe,diameter,18363.617293,3.5885714285714285,1
PJ01_1_Ruhe,diameter,18393.009313,3.9698002922552362,0
PJ01_1_Ruhe,diameter,18393.009313,3.9698002922552362,1
PJ01_1_Ruhe,diameter,18422.405199,4.582951420714941,0
PJ01_1_Ruhe,diameter,18422.405199,4.582951420714941,1
PJ01_1_Ruhe,diameter,18451.833198,2.830188679245283,0
PJ01_1_Ruhe,diameter,18451.833198,2.830188679245283,1
PJ01_1_Ruhe,diameter,18481.229214,2.5948660714285716,0
PJ01_1_Ruhe,diameter,18481.229214,2.5948660714285716,1
PJ01_1_Ruhe,diameter,18510.621118,1.0796804145972791,0
PJ01_1_Ruhe,diameter,18510.621118,1.0796804145972791,1
PJ01_1_Ruhe,diameter,18540.017173,0.7656695156695157,0
PJ01_1_Ruhe,diameter,18540.017173,0.7656695156695157,1
PJ01_1_Ruhe,diameter,18569.40925,2.631054414989037,0
PJ01_1_Ruhe,diameter,18569.40925,2.631054414989037,1
PJ01_1_Ruhe,diameter,18598.805256,3.644467750393288,0
PJ01_1_Ruhe,diameter,18598.805256,3.644467750393288,1
PJ01_1_Ruhe,diameter,18628.233207,2.543950361944157,0
PJ01_1_Ruhe,diameter,18628.233207,2.543950361944157,1
PJ01_1_Ruhe,diameter,18657.6253,2.362669816893089,0
PJ01_1_Ruhe,diameter,18657.6253,2.362669816893089,1
PJ01_1_Ruhe,diameter,18687.021122000002,1.6848731716348824,0
PJ01_1_Ruhe,diameter,18687.021122000002,1.6848731716348824,1
PJ01_1_Ruhe,diameter,18716.417459,3.762084909625893,0
PJ01_1_Ruhe,diameter,18716.417459,3.762084909625893,1
PJ01_1_Ruhe,diameter,18745.809428,3.0864197530864197,0
PJ01_1_Ruhe,diameter,18745.809428,3.0864197530864197,1
PJ01_1_Ruhe,diameter,18775.205315,2.7417027417027415,0
PJ01_1_Ruhe,diameter,18775.205315,2.7417027417027415,1
PJ01_1_Ruhe,diameter,18804.633358,5.846947549441101,0
PJ01_1_Ruhe,diameter,18804.633358,5.846947549441101,1
PJ01_1_Ruhe,diameter,18834.025515,2.0030816640986133,0
PJ01_1_Ruhe,diameter,18834.025515,2.0030816640986133,1
PJ01_1_Ruhe,diameter,18863.421288,7.234363225320271,0
PJ01_1_Ruhe,diameter,18863.421288,7.234363225320271,1
PJ01_1_Ruhe,diameter,18892.817413,3.6786786786786787,0
PJ01_1_Ruhe,diameter,18892.817413,3.6786786786786787,1
PJ01_1_Ruhe,diameter,18922.20926,3.742690058479532,0
PJ01_1_Ruhe,diameter,18922.20926,3.742690058479532,1
PJ01_1_Ruhe,diameter,18951.605508,0.41381505650167116,0
PJ01_1_Ruhe,diameter,18951.605508,0.41381505650167116,1
PJ01_1_Ruhe,diameter,18981.033567,0.24216739821401545,0
PJ01_1_Ruhe,diameter,18981.033567,0.24216739821401545,1
PJ01_1_Ruhe,diameter,19010.425377,0.16783643576441867,0
PJ01_1_Ruhe,diameter,19010.425377,0.16783643576441867,1
PJ01_1_Ruhe,diameter,19039.821326,0.6431427081522684,0
PJ01_1_Ruhe,diameter,19039.821326,0.6431427081522684,1
PJ01_1_Ruhe,diameter,19069.217484,0.32005120819331095,0
PJ01_1_Ruhe,diameter,19069.217484,0.32005120819331095,1
PJ01_2_Ruhe,diameter,22448.867314,0.07633005114113427,0
PJ01_2_Ruhe,diameter,22448.867314,0.07633005114113427,1
PJ01_2_Ruhe,diameter,22508.862655,0.2738225629791895,0
PJ01_2_Ruhe,diameter,22508.862655,0.2738225629791895,1
PJ01_2_Ruhe,diameter,22568.854734,0.08793141349747197,0
PJ01_2_Ruhe,diameter,22568.854734,0.08793141349747197,1
PJ01_2_Ruhe,diameter,22628.888422,0.1685475597244614,0
PJ01_2_Ruhe,diameter,22628.888422,0.1685475597244614,1
PJ01_2_Ruhe,diameter,22688.882732000002,0.17933198834342076,0
PJ01_2_Ruhe,diameter,22688.882732000002,0.17933198834342076,1
PJ01_2_Ruhe,diameter,22748.874941000002,0.16895614486152943,0
PJ01_2_Ruhe,diameter,22748.874941000002,0.16895614486152943,1
PJ01_2_Ruhe,diameter,22808.870863,0.5202267256774594,0
PJ01_2_Ruhe,diameter,22808.870863,0.5202267256774594,1
PJ01_2_Ruhe,diameter,22868.867106,0.5785317801579235,0
PJ01_2_Ruhe,diameter,22868.867106,0.5785317801579235,1
PJ01_2_Ruhe,diameter,22928.86315,2.2152331464515247,0
PJ01_2_Ruhe,diameter,22928.86315,2.2152331464515247,1
PJ01_2_Ruhe,diameter,22988.859021,1.0494918250110472,0
PJ01_2_Ruhe,diameter,22988.859021,1.0494918250110472,1
PJ01_2_Ruhe,diameter,23048.855479,0.8265213442325159,0
PJ01_2_Ruhe,diameter,23048.855479,0.8265213442325159,1
PJ01_2_Ruhe,diameter,23108.882999,0.4893340469454851,0
PJ01_2_Ruhe,diameter,23108.882999,0.4893340469454851,1
PJ01_2_Ruhe,diameter,23168.878993000002,0.9376085195045722,0
PJ01_2_Ruhe,diameter,23168.878993000002,0.9376085195045722,1
PJ01_2_Ruhe,diameter,23228.875148,1.4389157073895285,0
PJ01_2_Ruhe,diameter,23228.875148,1.4389157073895285,1
PJ01_2_Ruhe,diameter,23288.867147,3.164232641557776,0
PJ01_2_Ruhe,diameter,23288.867147,3.164232641557776,1
PJ01_2_Ruhe,diameter,23348.863062,3.122154286457656,0
PJ01_2_Ruhe,diameter,23348.863062,3.122154286457656,1
PJ01_2_Ruhe,diameter,23408.859193,2.6219609089464484,0
PJ01_2_Ruhe,diameter,23408.859193,2.6219609089464484,1
PJ01_2_Ruhe,diameter,23468.85502,2.097159543403239,0
PJ01_2_Ruhe,diameter,23468.85502,2.097159543403239,1
PJ01_2_Ruhe,diameter,23528.883134,1.662391944523606,0
PJ01_2_Ruhe,diameter,23528.883134,1.662391944523606,1
PJ01_2_Ruhe,diameter,23588.879371,1.0974393082806784,0
PJ01_2_Ruhe,diameter,23588.879371,1.0974393082806784,1
PJ01_3_Ruhe,diameter,8513.513887000001,4.870317002881844,0
PJ01_3_Ruhe,diameter,8513.513887000001,4.870317002881844,1
PJ01_3_Ruhe,diameter,8542.938,8.541238626357499,0
PJ01_3_Ruhe,diameter,8542.938,8.541238626357499,1
PJ01_3_Ruhe,diameter,8572.32593,11.85064935064935,0
PJ01_3_Ruhe,diameter,8572.32593,11.85064935064935,1
PJ01_3_Ruhe,diameter,8601.714030000001,4.826086956521739,0
PJ01_3_Ruhe,diameter,8601.714030000001,4.826086956521739,1
PJ01_3_Ruhe,diameter,8631.138016,5.251736111111111,0
PJ01_3_Ruhe,diameter,8631.138016,5.251736111111111,1
PJ01_3_Ruhe,diameter,8660.5259,6.429192006950478,0
PJ01_3_Ruhe,diameter,8660.5259,6.429192006950478,1
PJ01_3_Ruhe,diameter,8689.913955,3.529242293287237,0
PJ01_3_Ruhe,diameter,8689.913955,3.529242293287237,1
PJ01_3_Ruhe,diameter,8719.3339,4.992784992784993,0
PJ01_3_Ruhe,diameter,8719.3339,4.992784992784993,1
PJ01_3_Ruhe,diameter,8748.725966,4.384436701509872,0
PJ01_3_Ruhe,diameter,8748.725966,4.384436701509872,1
PJ01_3_Ruhe,diameter,8778.113996,10.699648711943794,0
PJ01_3_Ruhe,diameter,8778.113996,10.699648711943794,1
PJ01_3_Ruhe,diameter,8807.533848000001,17.60688836104513,0
PJ01_3_Ruhe,diameter,8807.533848000001,17.60688836104513,1
PJ01_3_Ruhe,diameter,8836.922131000001,9.154518950437318,0
PJ01_3_Ruhe,diameter,8836.922131000001,9.154518950437318,1
PJ01_3_Ruhe,diameter,8866.314046,8.731778425655977,0
PJ01_3_Ruhe,diameter,8866.314046,8.731778425655977,1
PJ01_3_Ruhe,diameter,8895.734076,11.731678486997636,0
PJ01_3_Ruhe,diameter,8895.734076,11.731678486997636,1
PJ01_3_Ruhe,diameter,8925.122158,14.012273524254821,0
PJ01_3_Ruhe,diameter,8925.122158,14.012273524254821,1
PJ01_3_Ruhe,diameter,8954.510217000001,5.043352601156069,0
PJ01_3_Ruhe,diameter,8954.510217000001,5.043352601156069,1
PJ01_3_Ruhe,diameter,8983.934006,3.489042675893887,0
PJ01_3_Ruhe,diameter,8983.934006,3.489042675893887,1
PJ01_3_Ruhe,diameter,9013.322158,1.829443964275425,0
PJ01_3_Ruhe,diameter,9013.322158,1.829443964275425,1
PJ01_3_Ruhe,diameter,9042.710204,3.9965247610773242,0
PJ01_3_Ruhe,diameter,9042.710204,3.9965247610773242,1
PJ01_3_Ruhe,diameter,9072.13409,4.3735565819861435,0
PJ01_3_Ruhe,diameter,9072.13409,4.3735565819861435,1
PJ01_3_Ruhe,diameter,9101.522217,8.518410286382233,0
PJ01_3_Ruhe,diameter,9101.522217,8.518410286382233,1
PJ01_3_Ruhe,diameter,9130.910191,5.613577023498695,0
PJ01_3_Ruhe,diameter,9130.910191,5.613577023498695,1
PJ01_3_Ruhe,diameter,9160.334125,7.196531791907514,0
PJ01_3_Ruhe,diameter,9160.334125,7.196531791907514,1
PJ01_3_Ruhe,diameter,9189.722217,10.74861637052141,0
PJ01_3_Ruhe,diameter,9189.722217,10.74861637052141,1
PJ01_3_Ruhe,diameter,9219.110174,15.57854852812591,0
PJ01_3_Ruhe,diameter,9219.110174,15.57854852812591,1
PJ01_3_Ruhe,diameter,9248.534154,11.060382916053019,0
PJ01_3_Ruhe,diameter,9248.534154,11.060382916053019,1
PJ01_3_Ruhe,diameter,9277.922218,11.638056444573756,0
PJ01_3_Ruhe,diameter,9277.922218,11.638056444573756,1
PJ01_3_Ruhe,diameter,9307.310293,15.34174244646524,0
PJ01_3_Ruhe,diameter,9307.310293,15.34174244646524,1
PJ01_3_Ruhe,diameter,9336.730205,7.217694994179278,0
PJ01_3_Ruhe,diameter,9336.730205,7.217694994179278,1
PJ01_3_Ruhe,diameter,9366.122251,6.313350709527946,0
PJ01_3_Ruhe,diameter,9366.122251,6.313350709527946,1
PJ01_3_Ruhe,diameter,9395.510398,14.560840385176538,0
PJ01_3_Ruhe,diameter,9395.510398,14.560840385176538,1
PJ01_3_Ruhe,diameter,9424.930336,15.63231850117096,0
PJ01_3_Ruhe,diameter,9424.930336,15.63231850117096,1
PJ01_3_Ruhe,diameter,9454.318216,14.419695193434935,0
PJ01_3_Ruhe,diameter,9454.318216,14.419695193434935,1
PJ01_3_Ruhe,diameter,9483.710319,14.628123184195235,0
PJ01_3_Ruhe,diameter,9483.710319,14.628123184195235,1
PJ01_3_Ruhe,diameter,9513.130298,22.157263957907045,0
PJ01_3_Ruhe,diameter,9513.130298,22.157263957907045,1
PJ01_3_Ruhe,diameter,9542.518154,6.881533101045296,0
PJ01_3_Ruhe,diameter,9542.518154,6.881533101045296,1
PJ01_3_Ruhe,diameter,9571.906335,9.666182873730044,0
PJ01_3_Ruhe,diameter,9571.906335,9.666182873730044,1
PJ01_3_Ruhe,diameter,9601.330334,4.330254041570439,0
PJ01_3_Ruhe,diameter,9601.330334,4.330254041570439,1
PJ01_3_Ruhe,diameter,9630.718302000001,3.4880368982415684,0
PJ01_3_Ruhe,diameter,9630.718302000001,3.4880368982415684,1
PJ01_3_Ruhe,diameter,9660.106401000001,3.223949337938975,0
PJ01_3_Ruhe,diameter,9660.106401000001,3.223949337938975,1
PJ01_3_Ruhe,diameter,9689.530316,9.736689814814815,0
PJ01_3_Ruhe,diameter,9689.530316,9.736689814814815,1
PJ01_4_Ruhe,diameter,13092.815367000001,4.034765404183155,0
PJ01_4_Ruhe,diameter,13092.815367000001,4.034765404183155,1
PJ01_4_Ruhe,diameter,13152.831464,2.8252578047746857,0
PJ01_4_Ruhe,diameter,13152.831464,2.8252578047746857,1
PJ01_4_Ruhe,diameter,13212.815499,3.2570298148933166,0
PJ01_4_Ruhe,diameter,13212.815499,3.2570298148933166,1
PJ01_4_Ruhe,diameter,13272.831497000001,2.0268361581920904,0
PJ01_4_Ruhe,diameter,13272.831497000001,2.0268361581920904,1
PJ01_4_Ruhe,diameter,13332.815568,2.861786319954777,0
PJ01_4_Ruhe,diameter,13332.815568,2.861786319954777,1
PJ01_4_Ruhe,diameter,13392.831569,4.7124487777306765,0
PJ01_4_Ruhe,diameter,13392.831569,4.7124487777306765,1
PJ01_4_Ruhe,diameter,13452.815519,2.873887868945064,0
PJ01_4_Ruhe,diameter,13452.815519,2.873887868945064,1
PJ01_4_Ruhe,diameter,13512.83568,5.060155697098372,0
PJ01_4_Ruhe,diameter,13512.83568,5.060155697098372,1
PJ01_4_Ruhe,diameter,13572.819694,1.3988978380669774,0
PJ01_4_Ruhe,diameter,13572.819694,1.3988978380669774,1
PJ01_4_Ruhe,diameter,13632.835811,1.8081649950557988,0
PJ01_4_Ruhe,diameter,13632.835811,1.8081649950557988,1
PJ01_4_Ruhe,diameter,13692.819771,1.2358757062146892,0
PJ01_4_Ruhe,diameter,13692.819771,1.2358757062146892,1
PJ01_4_Ruhe,diameter,13752.835774000001,1.454596808360401,0
PJ01_4_Ruhe,diameter,13752.835774000001,1.454596808360401,1
PJ01_4_Ruhe,diameter,13812.819758,1.2641242937853108,0
